timestamp,status,confidence,perclos,ear,mar,yawn,head_pitch,head_yaw,acc_x,acc_y,acc_z,temp,hr,spo2,pred_alert,pred_drowsy,pred_fatigued
1766734122.2021234,ALERT,0.99,0.0,0.327,0.004,0.0,-9.58,30.99,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734122.529431,ALERT,0.99,0.0,0.327,0.004,0.0,-9.58,30.99,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734123.2142227,ALERT,0.99,0.0,0.381,0.006,0.0,-7.16,18.55,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734124.0182781,ALERT,0.99,0.0,0.444,0.006,0.0,-40.93,-86.36,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734124.326986,ALERT,0.99,0.0,0.444,0.006,0.0,-40.93,-86.36,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734124.7387073,ALERT,0.99,0.0,0.383,0.003,0.0,-7.37,19.35,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734125.4128282,ALERT,0.99,0.0,0.425,0.006,0.0,-12.3,-23.43,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734125.7992125,ALERT,0.99,0.0,0.425,0.006,0.0,-12.3,-23.43,0,0,0,0.0,0.0,0,0.992,0.008,0.0
1766734126.245565,ALERT,0.99,0.0,0.322,0.009,0.0,-9.74,30.85,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734127.0370417,ALERT,0.99,0.0,0.319,0.006,0.0,-8.96,29.71,0,0,0,0.0,0.0,0,0.993,0.006,0.0
1766734127.5182493,ALERT,0.99,0.0,0.319,0.006,0.0,-8.96,29.71,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734128.5283937,ALERT,0.99,0.0,0.306,0.002,0.0,-6.07,18.76,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734129.2190597,ALERT,0.99,0.0,0.306,0.002,0.0,-8.09,20.85,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734129.6637475,ALERT,0.99,0.0,0.308,0.004,0.0,-8.22,21.59,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734130.0237417,ALERT,0.99,0.0,0.308,0.004,0.0,-8.22,21.59,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734130.7228658,ALERT,0.99,0.0,0.365,0.003,0.0,-7.58,19.68,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734131.5829282,ALERT,0.99,0.0,0.323,0.005,0.0,-8.16,28.78,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734132.2209477,ALERT,0.99,0.0,0.304,0.001,0.0,-7.24,27.8,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734132.8610742,ALERT,0.99,0.0,0.346,0.005,0.0,-5.54,19.77,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734133.2929356,ALERT,0.99,0.0,0.346,0.005,0.0,-5.54,19.77,0,0,0,0.0,0.0,0,0.992,0.007,0.001
1766734133.7479372,ALERT,0.99,0.0,0.309,0.002,0.0,-6.55,21.07,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734134.5314832,ALERT,0.99,0.0,0.341,0.002,0.0,-6.8,28.77,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734134.9692657,ALERT,0.99,0.0,0.369,0.007,0.0,5.29,-16.8,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734136.0340395,ALERT,0.99,0.0,0.301,0.004,0.0,-5.98,20.18,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734136.3396626,ALERT,0.99,0.0,0.301,0.004,0.0,-5.98,20.18,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734136.7176461,ALERT,0.99,0.0,0.325,0.003,0.0,-6.32,21.82,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734137.162206,ALERT,0.99,0.0,0.325,0.003,0.0,-6.32,21.82,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734137.5321827,ALERT,0.99,0.0,0.302,0.001,0.0,-5.6,28.22,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734138.2213852,ALERT,0.99,0.0,0.316,0.004,0.0,-6.27,28.69,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734139.0252588,ALERT,0.99,0.0,0.312,0.005,0.0,-7.03,20.29,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734139.3505254,ALERT,0.99,0.0,0.312,0.005,0.0,-7.03,20.29,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734139.717622,ALERT,0.99,0.0,0.328,0.003,0.0,-7.03,20.29,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734140.459961,ALERT,0.99,0.0,0.328,0.003,0.0,-7.07,20.63,0,0,0,0.0,0.0,0,0.992,0.007,0.001
1766734140.7781532,ALERT,0.99,0.0,0.313,0.003,0.0,-5.43,20.69,0,0,0,0.0,0.0,0,0.992,0.007,0.001
1766734141.230058,ALERT,0.99,0.0,0.313,0.003,0.0,-5.43,20.69,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734141.5457773,ALERT,0.99,0.0,0.333,0.002,0.0,-6.0,28.52,0,0,0,0.0,0.0,0,0.992,0.007,0.001
1766734142.0211363,ALERT,0.99,0.0,0.333,0.002,0.0,-6.0,28.52,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734142.2883775,ALERT,0.99,0.0,0.305,0.005,0.0,-6.17,27.48,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734142.6271589,ALERT,0.99,0.0,0.305,0.005,0.0,-6.17,27.48,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734143.5311673,ALERT,0.99,0.0,0.359,0.004,0.0,-5.91,19.46,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734144.2229254,ALERT,0.99,0.0,0.298,0.001,0.0,-6.18,27.38,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734144.7174711,ALERT,0.99,0.0,0.334,0.004,0.0,-6.86,21.03,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734145.022049,ALERT,0.99,0.0,0.334,0.004,0.0,-6.86,21.03,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734145.710588,ALERT,0.99,0.0,0.307,0.005,0.0,-7.19,27.78,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734146.5345135,ALERT,0.99,0.0,0.329,0.005,0.0,-6.23,21.78,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734146.8234873,ALERT,0.99,0.0,0.329,0.005,0.0,-6.23,21.78,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734147.2151062,ALERT,0.99,0.0,0.322,0.005,0.0,-6.51,28.73,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734147.901411,ALERT,0.99,0.0,0.314,0.004,0.0,-6.0,20.43,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734148.2816916,ALERT,0.99,0.0,0.314,0.004,0.0,-6.0,20.43,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734148.7171113,ALERT,0.99,0.0,0.31,0.002,0.0,-6.61,21.36,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734149.5293038,ALERT,0.99,0.0,0.345,0.007,0.0,-6.73,19.65,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734149.9897826,ALERT,0.99,0.0,0.345,0.007,0.0,-6.73,19.65,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734151.021077,ALERT,0.99,0.0,0.366,0.006,0.0,-5.58,19.57,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734151.7259486,ALERT,0.99,0.0,0.332,0.001,0.0,-5.58,19.57,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734152.141333,ALERT,0.99,0.0,0.332,0.001,0.0,-6.49,20.01,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734152.5406437,ALERT,0.99,0.0,0.31,0.003,0.0,-6.49,20.01,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734153.2306929,ALERT,0.99,0.0,0.31,0.003,0.0,-6.23,20.43,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734154.0405436,ALERT,0.99,0.0,0.309,0.005,0.0,-5.48,20.39,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734154.337091,ALERT,0.99,0.0,0.332,0.002,0.0,-5.04,20.84,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734154.731432,ALERT,0.99,0.0,0.332,0.002,0.0,-5.04,20.84,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734155.4795818,ALERT,0.99,0.0,0.33,0.002,0.0,-5.58,21.1,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734155.7840254,ALERT,0.99,0.0,0.311,0.002,0.0,-5.87,20.54,0,0,0,0.0,0.0,0,0.993,0.007,0.0
